name	chrom	strand	txStart	txEnd
NM_001204961	chr1	+	164528596	164821060
NM_001136219	chr1	+	161475204	161489360
NM_001353130	chr1	+	164528958	164821060
NM_001353131	chr1	+	164528596	164855284
NR_146559	chr1	+	171810617	172381857
NM_001350204	chr1	+	171810617	172381857
NM_022093	chr1	+	175036993	175117202
NM_001163629	chr1	+	170904611	171033906
NM_015569	chr1	+	171810617	172381857
NM_025063	chr1	+	170904635	170967946
NM_001278252	chr1	+	171810617	172102532
NM_001136127	chr1	+	171810617	172381857
NM_001350206	chr1	+	171810617	172387603
NM_001350205	chr1	+	171810617	172102532
NM_003101	chr1	+	179262848	179327814
NM_001174061	chr1	+	183441505	183523328
NM_201569	chr1	+	183441505	183523328
NM_201568	chr1	+	183441505	183523328
NM_001350222	chr1	+	183441505	183523328
NM_001350221	chr1	+	183441505	183523328
NM_170692	chr1	+	178062863	178448648
NM_001137669	chr1	+	182419255	182529732
NM_021165	chr1	+	177140523	177251558
NM_001331007	chr1	+	183441505	183523328
NM_001350220	chr1	+	183441505	183523328
NM_001252511	chr1	+	179262848	179327814
NM_001252512	chr1	+	179262848	179327814
NM_001350219	chr1	+	183441505	183523328
NR_045530	chr1	+	179262848	179327814
NM_173156	chr1	+	183441505	183523328
NR_147896	chr1	+	199117725	199362435
NM_133494	chr1	+	198126107	198291548
NR_120535	chr1	+	206557366	206581301
NM_001331029	chr1	+	202317829	202557697
NM_015326	chr1	+	206516199	206637783
NM_001170637	chr1	+	206516199	206637783
NM_001167858	chr1	+	202317829	202407370
NM_001167857	chr1	+	202317829	202407370
NM_001300952	chr1	+	206516199	206629507
NM_002481	chr1	+	202317829	202557697
NM_001122834	chr1	+	210501595	210849638
NM_001170588	chr1	+	210502249	210849638
NM_001170587	chr1	+	210502249	210849638
NM_001170564	chr1	+	210501595	210849638
NM_001170580	chr1	+	210502639	210849638
NM_018194	chr1	+	210502249	210849638
NR_031644	chr1	+	218610974	219281452
NR_002753	chr1	+	220046618	220292777
NM_001373	chr1	+	225117355	225586996
NR_028399	chr1	+	231664398	231838307
NR_028400	chr1	+	231664398	231886365
NR_028394	chr1	+	231664398	231954990
NR_028395	chr1	+	231664398	231954990
NR_028396	chr1	+	231664398	231954990
NR_028397	chr1	+	231664398	231954990
NR_028398	chr1	+	231664398	231954990
NR_028393	chr1	+	231664398	232177019
NR_027247	chr1	+	238025474	238091619
NM_001291939	chr1	+	236958580	237067281
NM_001291940	chr1	+	236958580	237067281
NM_000254	chr1	+	236958580	237067281
NM_018012	chr1	+	245318286	245872734
NM_001001918	chr1	+	248512076	248513015
NR_047519	chr1	+	762970	794826
NR_047521	chr1	+	762970	794826
NR_047523	chr1	+	762970	794826
NR_047524	chr1	+	762970	794826
NR_047525	chr1	+	763177	794826
NM_003820	chr1	+	2487803	2497061
NM_001297605	chr1	+	2487803	2497061
NM_003036	chr1	+	2160133	2241652
NM_004402	chr1	+	3773830	3801993
NR_104222	chr1	+	3773830	3801993
NM_001320136	chr1	+	3773830	3801993
NM_001282669	chr1	+	3773830	3801993
NR_135152	chr1	+	3773830	3801993
NR_135151	chr1	+	3773830	3801993
NR_135150	chr1	+	3773830	3801993
NM_001320132	chr1	+	3773830	3801993
NM_152492	chr1	+	3668964	3688209
NM_001042478	chr1	+	4715104	4837854
NM_018836	chr1	+	4715104	4843851
NM_172130	chr1	+	6086072	6161253
NM_003636	chr1	+	6086072	6161253
NM_001199862	chr1	+	6105980	6161253
NM_001199861	chr1	+	6052357	6161253
NM_001199860	chr1	+	6094347	6161253
NM_001199863	chr1	+	6106173	6161253
NR_038934	chr1	+	6845383	6948261
NR_146202	chr1	+	6845383	6948261
NR_146203	chr1	+	6845383	6948261
NM_001242701	chr1	+	6845383	6948261
NM_001349621	chr1	+	7729789	7829766
NM_016831	chr1	+	7844488	7905240
NM_001289864	chr1	+	7844488	7905240
NM_001289863	chr1	+	7844488	7905240
NM_001349617	chr1	+	7729824	7829766
NM_001289862	chr1	+	7844488	7905240
NM_001289861	chr1	+	7844488	7905240
NM_001349625	chr1	+	7729803	7829766
NM_001349620	chr1	+	7729789	7829766
NM_001349623	chr1	+	7729789	7829766
NM_001349614	chr1	+	7729789	7829766
NM_004285	chr1	+	9294862	9331394
NM_001282587	chr1	+	9299902	9331394
NM_015074	chr1	+	10270763	10441661
NM_183416	chr1	+	10270763	10368655
NM_006048	chr1	+	10093040	10241296
NM_001105562	chr1	+	10093040	10241296
NM_004565	chr1	+	10535002	10690815
NM_001243	chr1	+	12123433	12204264
NM_015378	chr1	+	12290095	12572098
NM_018156	chr1	+	12290095	12572098
NM_014874	chr1	+	12040237	12073572
NM_020350	chr1	+	11796141	11810828
NM_001281430	chr1	+	12123433	12204264
NM_001127660	chr1	+	12040237	12073572
NM_001040197	chr1	+	11796141	11810828
NM_001040196	chr1	+	11796141	11810828
NM_001040195	chr1	+	11796141	11810828
NM_001040194	chr1	+	11796141	11810828
NM_001013630	chr1	+	12704565	12727097
NM_052929	chr1	+	15573720	15724623
NM_015209	chr1	+	14925212	15394651
NM_201628	chr1	+	14925212	15444544
NM_001018001	chr1	+	15256295	15394651
NM_001018000	chr1	+	15250624	15394651
NM_001017999	chr1	+	15272414	15394651
NR_109898	chr1	+	15853307	15898228
NM_015001	chr1	+	16174358	16266950
NM_015291	chr1	+	15853307	15898228
NM_001287811	chr1	+	15853307	15898228
NM_013358	chr1	+	17531620	17572501
NR_137287	chr1	+	17866329	18024364
NR_137288	chr1	+	17866329	18024364
NM_001319837	chr1	+	17907047	18024370
NM_032880	chr1	+	18434239	18704977
NM_001319838	chr1	+	17944807	18024370
NM_030812	chr1	+	18081807	18153558
NM_018125	chr1	+	17866329	18024370
NM_001328124	chr1	+	17944807	18024364
NM_001011722	chr1	+	17907047	18024370
NM_002584	chr1	+	18957499	19062632
NM_001135254	chr1	+	18957499	19075360
NM_013945	chr1	+	18957499	19062632
NM_001127501	chr1	+	21835850	21904905
NM_001177520	chr1	+	21835850	21904905
NM_000478	chr1	+	21835850	21904905
NM_044472	chr1	+	22379119	22417296
NM_001039802	chr1	+	22379119	22419436
NM_001330398	chr1	+	22778343	22857650
NM_001083621	chr1	+	22778343	22857650
NM_001791	chr1	+	22379119	22419436
NM_014870	chr1	+	22778343	22857650
NM_001013693	chr1	+	22138757	22151714
NR_136506	chr1	+	24742239	24799473
NR_136507	chr1	+	24742239	24799473
NR_136508	chr1	+	24742239	24799473
NM_001330409	chr1	+	24742239	24792833
NM_001322857	chr1	+	24742514	24799473
NM_001322862	chr1	+	24742239	24799473
NM_001322861	chr1	+	24742239	24799473
NM_001322860	chr1	+	24742239	24799473
NM_001322859	chr1	+	24742239	24799473
NM_001322858	chr1	+	24742239	24799473
NM_001322864	chr1	+	24742239	24799473
NM_001322863	chr1	+	24742239	24799473
NM_001322866	chr1	+	24742239	24799473
NM_001322865	chr1	+	24742239	24781314
NM_001322856	chr1	+	24742239	24799473
NM_001322855	chr1	+	24742239	24799473
NM_001322854	chr1	+	24739976	24799473
NM_020448	chr1	+	24742244	24799473
NM_001322868	chr1	+	24742239	24799473
NM_001010980	chr1	+	24882566	24935818
NM_001282564	chr1	+	25757348	25826698
NM_001289010	chr1	+	25943958	26112698
NM_018202	chr1	+	25757348	25826698
NM_020379	chr1	+	25943958	26112698
NM_001330441	chr1	+	26869602	26901520
NM_031286	chr1	+	26606212	26608013
NM_024674	chr1	+	26737258	26756219
NM_002953	chr1	+	26856248	26901520
NR_037576	chr1	+	27648635	27662891
NR_037577	chr1	+	27648635	27662891
NR_037580	chr1	+	27648635	27662891
NM_032125	chr1	+	27648635	27662891
NR_002909	chr1	+	28832454	28837404
NR_036473	chr1	+	28832454	28837404
NM_001048183	chr1	+	28696064	28826881
NR_030726	chr1	+	28832454	28865708
NR_030725	chr1	+	28832454	28865708
NM_001350160	chr1	+	28696064	28826881
NM_001350159	chr1	+	28696064	28826881
NM_001350158	chr1	+	28696064	28826881
NM_001350161	chr1	+	28696064	28826881
NM_001048199	chr1	+	28832454	28865708
NM_133177	chr1	+	29563027	29653325
NM_005704	chr1	+	29563027	29653325
NM_133178	chr1	+	29563027	29653325
NM_001195001	chr1	+	29563027	29653325
NR_034182	chr1	+	31191618	31199593
NR_135106	chr1	+	33290913	33324480
NR_135107	chr1	+	33290913	33324480
NM_001256121	chr1	+	33283042	33324480
NM_001291496	chr1	+	33004745	33071551
NR_111980	chr1	+	33004745	33071551
NM_012316	chr1	+	32573643	32642168
NM_022753	chr1	+	33283118	33324480
NM_004964	chr1	+	32757707	32799224
NM_001040441	chr1	+	33004745	33071551
NR_125978	chr1	+	33815952	33828846
NR_038372	chr1	+	34334556	34351059
NM_145238	chr1	+	33938231	33961995
NR_146062	chr1	+	36273224	36323490
NM_017629	chr1	+	36273827	36323490
NM_001350139	chr1	+	35734567	35887545
NM_001350138	chr1	+	35734567	35887545
NM_024852	chr1	+	36396682	36522063
NM_005095	chr1	+	35734567	35887545
NM_177422	chr1	+	36396682	36522063
NM_001350140	chr1	+	35734567	35887545
NM_178548	chr1	+	36038970	36060927
NM_012421	chr1	+	40627040	40706593
NM_181809	chr1	+	39957317	39995541
NM_172163	chr1	+	41249683	41306124
NM_004700	chr1	+	41249683	41306124
NM_173642	chr1	+	42846467	42889900
NM_001253357	chr1	+	43766565	43788781
NM_001195831	chr1	+	43638000	43720029
NM_015284	chr1	+	43855555	43919918
NM_001167965	chr1	+	43638000	43676549
NM_001354602	chr1	+	43250702	43266489
NM_005424	chr1	+	43766565	43788781
NM_152498	chr1	+	43638000	43676549
NR_073016	chr1	+	44173167	44396837
NR_073017	chr1	+	44173167	44396837
NR_073018	chr1	+	44173167	44396837
NR_073019	chr1	+	44173167	44396837
NR_073020	chr1	+	44173167	44396837
NR_073021	chr1	+	44173167	44396837
NR_073023	chr1	+	44173167	44396837
NR_146867	chr1	+	44173167	44396837
NM_001270463	chr1	+	44173167	44396837
NM_001270462	chr1	+	44173167	44396837
NM_001350619	chr1	+	44173167	44396837
NM_001270466	chr1	+	44173167	44396837
NM_001270464	chr1	+	44173167	44396837
NM_001270459	chr1	+	44173203	44396837
NM_001270460	chr1	+	44173203	44396837
NM_001270465	chr1	+	44173167	44396837
NM_174971	chr1	+	44173167	44396837
NM_006279	chr1	+	44173167	44396837
NM_174970	chr1	+	44173167	44396837
NM_174969	chr1	+	44173167	44396837
NM_174967	chr1	+	44173167	44396837
NM_001270461	chr1	+	44173167	44396837
NM_174966	chr1	+	44173167	44396837
NM_014652	chr1	+	44412477	44433694
NM_001350621	chr1	+	44173167	44396837
NM_001350620	chr1	+	44173167	44396837
NM_174965	chr1	+	44173167	44396837
NM_174964	chr1	+	44173167	44396837
NM_174963	chr1	+	44173167	44396837
NM_174968	chr1	+	44173167	44396837
NM_001297655	chr1	+	45205489	45233438
NM_001297657	chr1	+	45212033	45233438
NM_001297656	chr1	+	45212033	45233438
NM_006845	chr1	+	45205489	45233438
NM_001324320	chr1	+	46269278	46501796
NM_001324321	chr1	+	46330019	46501796
NM_015112	chr1	+	46269284	46501796
NM_001319245	chr1	+	46269284	46501796
NM_001136140	chr1	+	47799468	47844511
NR_046394	chr1	+	47799468	47844511
NM_001320289	chr1	+	47427035	47516426
NM_016308	chr1	+	47799468	47844511
NM_178134	chr1	+	47533159	47583992
NR_136725	chr1	+	50575287	50646972
NM_001294348	chr1	+	50575287	50669457
NM_001144775	chr1	+	50571936	50669457
NM_001144774	chr1	+	50574591	50669457
NM_001144777	chr1	+	50513685	50669457
NM_001144776	chr1	+	50569581	50669457
NM_001324209	chr1	+	50574591	50669457
NM_001324208	chr1	+	50513685	50669457
NM_021952	chr1	+	50574591	50669457
NM_001324217	chr1	+	50575287	50646972
NM_001324216	chr1	+	50574591	50646972
NM_001324215	chr1	+	50575287	50669457
NM_001324214	chr1	+	50575287	50669457
NM_001324213	chr1	+	50575287	50669457
NM_001324212	chr1	+	50574591	50669457
NM_001350208	chr1	+	52082545	52254891
NM_001350209	chr1	+	52082545	52254891
NM_148909	chr1	+	52082545	52254891
NM_148908	chr1	+	52082545	52254891
NM_024586	chr1	+	52082545	52254891
NM_148906	chr1	+	52082545	52254891
NR_036662	chr1	+	52082545	52254891
NM_001307931	chr1	+	53308182	53360247
NM_004799	chr1	+	52607765	52812358
NM_007324	chr1	+	52607765	52812358
NM_024646	chr1	+	53192130	53293013
NM_001004339	chr1	+	53308182	53360247
NR_037639	chr1	+	55107412	55208328
NR_037640	chr1	+	55107412	55208328
NR_037641	chr1	+	55107412	55208328
NM_147161	chr1	+	55013806	55076005
NM_015547	chr1	+	55013806	55100417
NM_006252	chr1	+	57110989	57181008
NR_104365	chr1	+	58326214	58328654
NR_104362	chr1	+	58326214	58328786
NR_104363	chr1	+	58326214	58328786
NR_104364	chr1	+	58326214	58328786
NR_110626	chr1	+	59486147	59553919
NM_001350799	chr1	+	59775749	60228402
NM_001244714	chr1	+	59775749	60228402
NM_015888	chr1	+	60280532	60342050
NM_001350792	chr1	+	59775749	60228402
NM_001350794	chr1	+	59775749	60228402
NM_001350791	chr1	+	59775749	60228402
NM_001350790	chr1	+	59775749	60228402
NM_001278224	chr1	+	59981300	60228402
NM_176877	chr1	+	62208137	62629591
NM_001350145	chr1	+	62208137	62629591
NM_032852	chr1	+	63249776	63330941
NM_178221	chr1	+	63249776	63330941
NM_001083592	chr1	+	64239689	64609052
NM_005012	chr1	+	64239689	64647179
NM_001172818	chr1	+	64088886	64125916
NM_001172819	chr1	+	64059479	64125916
NM_002633	chr1	+	64058946	64125916
NM_014787	chr1	+	65730376	65881552
NM_203464	chr1	+	65613231	65697828
NM_001330616	chr1	+	65614685	65697828
NM_018211	chr1	+	65210777	65298914
NM_001256865	chr1	+	65730376	65881552
NM_001256864	chr1	+	65775217	65881552
NM_013410	chr1	+	65613849	65697828
NM_001005353	chr1	+	65613512	65697828
NM_002600	chr1	+	66258855	66840262
NM_001297441	chr1	+	66378927	66840262
NM_001297440	chr1	+	66258192	66840262
NM_001037341	chr1	+	66258192	66840262
NM_001037340	chr1	+	66458298	66840262
NM_144701	chr1	+	67632168	67725650
NM_152665	chr1	+	67218139	67244730
NR_040077	chr1	+	68297970	68668670
NR_146608	chr1	+	69521580	69650685
NR_023916	chr1	+	70385004	70386000
NR_046217	chr1	+	71547006	71703406
NR_110676	chr1	+	73771852	73804560
NR_146300	chr1	+	74140361	74204325
NM_001199327	chr1	+	74663895	74930609
NM_001112808	chr1	+	74663895	75010116
NM_015978	chr1	+	74701070	75010116
NM_002440	chr1	+	76262555	76378923
NM_030965	chr1	+	77333092	77533223
NM_001320274	chr1	+	77333092	77533223
NM_001320273	chr1	+	77333092	77533223
NM_001270384	chr1	+	78245308	78345225
NM_001304725	chr1	+	78510645	78604133
NM_017655	chr1	+	78511588	78604133
NM_144573	chr1	+	78354199	78409578
NM_198549	chr1	+	78245308	78345225
NM_174858	chr1	+	77747661	78025654
NM_001172309	chr1	+	78354199	78409578
NM_012093	chr1	+	77748286	78025654
NR_027310	chr1	+	78695282	78835147
NR_125940	chr1	+	81001439	81112473
NR_125941	chr1	+	81001439	81112473
NM_001350699	chr1	+	82266060	82459616
NM_001350698	chr1	+	82266621	82459616
NM_012302	chr1	+	82266081	82459616
NM_001297705	chr1	+	82266081	82459616
NM_001297706	chr1	+	82266081	82459616
NM_001297704	chr1	+	82165454	82459616
NM_001330645	chr1	+	82266081	82459616
NR_147074	chr1	+	83368865	83632498
NM_001134664	chr1	+	84768333	84816481
NM_001134663	chr1	+	84767288	84816481
NM_001242859	chr1	+	84629866	84704181
NM_001242858	chr1	+	84629866	84704181
NM_001242857	chr1	+	84629866	84704181
NM_001242862	chr1	+	84647314	84704181
NM_001242861	chr1	+	84630322	84704181
NM_001242860	chr1	+	84630322	84704181
NM_002731	chr1	+	84543657	84704181
NM_182948	chr1	+	84609930	84704181
NM_001010971	chr1	+	84764048	84816481
NM_001288563	chr1	+	85527980	85598821
NM_145172	chr1	+	85527980	85598821
NM_006536	chr1	+	86889565	86922240
NM_001290053	chr1	+	87678351	87717014
NM_001134492	chr1	+	87380334	87564125
NM_012262	chr1	+	87380334	87575681
NM_015350	chr1	+	90024271	90063420
NM_001320709	chr1	+	89149826	89301938
NM_001320708	chr1	+	89149826	89301938
NM_001320707	chr1	+	89149826	89301938
NM_001134476	chr1	+	89990396	90063420
NM_006256	chr1	+	89149826	89301938
NM_018103	chr1	+	90287479	90401989
NM_001134479	chr1	+	90286572	90401989
NM_024813	chr1	+	92764521	92853732
NM_007358	chr1	+	93544791	93604638
NM_001024948	chr1	+	93913687	94020218
NM_001164392	chr1	+	93544791	93604638
NM_017737	chr1	+	93913687	94020218
NM_001164473	chr1	+	93913687	94020218
NM_206886	chr1	+	93646272	93744287
NM_001164393	chr1	+	93544791	93604638
NM_001164391	chr1	+	93544791	93604638
NM_001306076	chr1	+	93646272	93744287
NM_152369	chr1	+	95286099	95360803
NR_146575	chr1	+	95285897	95360803
NM_002858	chr1	+	94883932	94984219
NM_001122674	chr1	+	94883932	94944260
NM_001114106	chr1	+	95285897	95360803
NM_001258341	chr1	+	95285897	95360803
NM_001258340	chr1	+	95285897	95360803
NM_001258343	chr1	+	95285897	95360803
NM_001258342	chr1	+	95285897	95360803
NM_001301079	chr1	+	95286099	95360803
NM_001199691	chr1	+	95583478	95710509
NR_033966	chr1	+	95940292	95944912
NR_125357	chr1	+	97187160	97280605
NR_125356	chr1	+	97188193	97280605
NM_001300989	chr1	+	97187160	97280605
NM_001300988	chr1	+	97187160	97280605
NM_001300990	chr1	+	97187160	97280605
NM_021190	chr1	+	97187160	97280605
NM_001300987	chr1	+	97187160	97280605
NM_001300986	chr1	+	97187160	97280605
NM_001300985	chr1	+	97187160	97280605
NR_046590	chr1	+	97561478	97788511
NR_046088	chr1	+	98676266	98738214
NR_033716	chr1	+	99127235	99226056
NR_033940	chr1	+	99469831	99614408
NM_152238	chr1	+	99127235	99226056
NM_015976	chr1	+	99127235	99226056
NM_014839	chr1	+	99729847	99775138
NM_033055	chr1	+	100503788	100548929
NM_017734	chr1	+	100111430	100160097
NM_001166252	chr1	+	99729847	99775138
NM_001199834	chr1	+	101185195	101204601
NM_080682	chr1	+	101185195	101204601
NM_033313	chr1	+	100818022	100950926
NM_033312	chr1	+	100818022	100965021
NM_001078	chr1	+	101185195	101204601
NM_001319212	chr1	+	100818022	100965021
NM_001319211	chr1	+	100810570	100965021
NM_001319210	chr1	+	100818022	100985833
NM_003672	chr1	+	100818022	100985833
NM_001346780	chr1	+	104198137	104207176
NM_017619	chr1	+	104068577	104097859
NM_004038	chr1	+	104198301	104207173
NM_001008219	chr1	+	104198271	104207176
NM_001008218	chr1	+	104198324	104207172
NM_001008221	chr1	+	104198140	104207173
NR_046653	chr1	+	108507064	108537229
NM_020775	chr1	+	109656584	109749403
NM_007269	chr1	+	109289256	109352148
NM_001284352	chr1	+	109656584	109749403
NM_001267048	chr1	+	109656584	109749403
NM_001321039	chr1	+	109419602	109476957
NM_001321038	chr1	+	109419602	109473044
NM_013296	chr1	+	109419602	109473044
NR_036437	chr1	+	110753335	110776674
NM_004978	chr1	+	110753335	110776674
NM_001201545	chr1	+	110881944	110889303
NM_022768	chr1	+	110881944	110889303
NM_146421	chr1	+	110230417	110236367
NM_001039574	chr1	+	110753335	110776674
NM_000561	chr1	+	110230417	110236367
NM_018704	chr1	+	112938799	113003786
NM_014813	chr1	+	113615791	113667824
NM_001142782	chr1	+	113933474	114228545
NM_001312686	chr1	+	113615791	113667824
NM_152900	chr1	+	113933474	114228545
NR_125965	chr1	+	114355233	114443859
NR_037864	chr1	+	114399256	114443859
NR_104211	chr1	+	115397423	115537990
NM_003176	chr1	+	115397423	115537990
NM_001282542	chr1	+	115397423	115537990
NM_001282541	chr1	+	115397423	115537990
NM_018420	chr1	+	116519118	116612675
NM_001328609	chr1	+	117297051	117311851
NM_001767	chr1	+	117297051	117311851
NM_000701	chr1	+	116915794	116947396
NM_001256111	chr1	+	117544371	117579173
NM_001256109	chr1	+	117544371	117579173
NM_004258	chr1	+	117544371	117579173
NM_006699	chr1	+	117910054	118071492
NM_001256106	chr1	+	117544371	117579173
NR_125975	chr1	+	119683018	119818596
NM_016527	chr1	+	119911398	119936753
NM_001005783	chr1	+	119911398	119936753
NM_001320149	chr1	+	120839411	120855681
NR_120535	chr1	+	121107151	121131061
NM_001271872	chr1	+	121107151	121134735
NM_001329984	chr1	+	121107151	121134735
NM_001100910	chr1	+	120839004	120855681
NM_001330684	chr1	+	121107151	121134685
NM_001271870	chr1	+	121107151	121134685
NR_104217	chr1	+	145289769	145370303
NM_203458	chr1	+	145209112	145286270
NM_004892	chr1	+	145096406	145116997
NM_014455	chr1	+	145610989	145689005
NM_153713	chr1	+	145477066	145501669
NR_104217	chr1	+	145827204	146467743
NR_146087	chr1	+	145979819	146025274
NM_001278141	chr1	+	146373856	146467639
NM_001348451	chr1	+	146644772	146767447
NM_001350181	chr1	+	147400486	147465824
NM_004326	chr1	+	147013270	147098020
NM_016334	chr1	+	147400486	147465824
NM_001350182	chr1	+	147400486	147465824
NM_001350183	chr1	+	147400486	147465824
NM_001350184	chr1	+	147400486	147465824
NM_001350180	chr1	+	147400486	147465824
NR_148945	chr1	+	147930935	148176920
NR_145442	chr1	+	149288234	149291701
NM_001013644	chr1	+	149288353	149291742
